n,method,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
5,gauss_seidel,-4.1494585545365226e-14,7.646383526349609e-13,-3.264610803910273e-12,4.895014948935739e-12,0.9999999999976181,,,,,,,,,,
5,relaxing_0.8,-4.4436685439564083e-14,8.214262656736766e-13,-3.5146885424275345e-12,5.278347206822076e-12,0.9999999999974285,,,,,,,,,,
5,relaxing_1.12,-3.891331632232511e-14,7.14595047698255e-13,-3.045480531291908e-12,4.561420683971153e-12,0.9999999999977821,,,,,,,,,,
9,gauss_seidel,,,,,,,,,,,,,,,
9,relaxing_0.8,-3.891331632232511e-14,7.14595047698255e-13,-3.045480531291908e-12,4.561420683971153e-12,0.9999999999977821,,,,,,,,,,
9,relaxing_1.12,-3.891331632232511e-14,7.14595047698255e-13,-3.045480531291908e-12,4.561420683971153e-12,0.9999999999977821,,,,,,,,,,
15,gauss_seidel,,,,,,,,,,,,,,,
15,relaxing_0.8,-3.891331632232511e-14,7.14595047698255e-13,-3.045480531291908e-12,4.561420683971153e-12,0.9999999999977821,,,,,,,,,,
15,relaxing_1.12,-3.891331632232511e-14,7.14595047698255e-13,-3.045480531291908e-12,4.561420683971153e-12,0.9999999999977821,,,,,,,,,,
