n,method,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
5,gauss_naive,0.9999999999999654,1.0000000000005236,0.9999999999980628,1.0000000000025913,0.9999999999988525,,,,,,,,,,
5,gauss_partial,0.9999999999999662,1.0000000000005203,0.9999999999980659,1.0000000000025913,0.9999999999988525,,,,,,,,,,
5,gauss_scaled,0.9999999999999662,1.0000000000005203,0.9999999999980659,1.0000000000025913,0.9999999999988525,,,,,,,,,,
5,gauss_complete,0.9999999999999662,1.0000000000005207,0.9999999999980652,1.000000000002591,0.9999999999988526,,,,,,,,,,
9,gauss_naive,0.9999999997602123,1.000000016452157,0.9999997226859683,1.0000019734507843,0.9999927795056855,1.0000147132093842,0.9999831308861139,1.0000101748012682,0.9999974890861828,,,,,,
9,gauss_partial,0.9999999997602129,1.000000016452129,0.9999997226864367,1.0000019734473575,0.9999927795185306,1.0000147131826707,0.9999831309172792,1.0000101747821875,0.9999974890909531,,,,,,
9,gauss_scaled,0.9999999997602129,1.000000016452129,0.9999997226864367,1.0000019734473575,0.9999927795185306,1.0000147131826707,0.9999831309172792,1.0000101747821875,0.9999974890909531,,,,,,
9,gauss_complete,0.9999999997602129,1.0000000164521292,0.9999997226864362,1.0000019734473589,0.9999927795185272,1.0000147131826722,0.9999831309172801,1.0000101747821868,0.999997489090953,,,,,,
15,gauss_naive,0.9999999687237979,1.0000024170949022,0.9999949224397477,0.9986402619577435,1.025668111139245,0.7819334853052653,2.0668409253458475,-2.2790366974921654,7.532393125791092,-7.3550475671091275,7.380667063930494,-1.1290414180951418,0.4257487472570646,1.733284233971601,0.817952344733362
15,gauss_partial,0.9999999689509904,1.0000023904247894,0.9999956165592296,0.9986344823179254,1.0256628482408885,0.7823215464341029,2.0639610282435275,-2.2678319444169723,7.505387319901994,-7.312708274566657,7.337387535501991,-1.1012711198238516,0.4156890870713699,1.7347706645992067,0.8179987759021681
15,gauss_scaled,0.9999999689509904,1.0000023904247894,0.9999956165592296,0.9986344823179254,1.0256628482408885,0.7823215464341029,2.0639610282435275,-2.2678319444169723,7.505387319901994,-7.312708274566657,7.337387535501991,-1.1012711198238516,0.4156890870713699,1.7347706645992067,0.8179987759021681
15,gauss_complete,0.9999999689509904,1.0000023904247886,0.999995616559242,0.9986344823178976,1.0256628482409096,0.7823215464340222,2.0639610282438263,-2.2678319444174586,7.505387319902424,-7.3127082745668845,7.337387535502068,-1.1012711198238785,0.41568908707138363,1.7347706645992018,0.8179987759021686
